country,alpha_2_code,alpha_3_code,numeric_code,year,"Population, total",GDP per capita (constant 2015 US$),GNI (current US$),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Military expenditure (% of GDP)
Afghanistan,AF,AFG,4,1960,8622466,,548888848.888889,,32.535,
Afghanistan,AF,AFG,4,1961,8790140,,560000022.222222,,33.068,
Afghanistan,AF,AFG,4,1962,8969047,,557777806.666667,,33.547,
Afghanistan,AF,AFG,4,1963,9157465,,766666706.666667,,34.016,
Afghanistan,AF,AFG,4,1964,9355514,,815555562.222222,,34.494,
Afghanistan,AF,AFG,4,1965,9565147,,1026666677.77778,,34.953,
Afghanistan,AF,AFG,4,1966,9783147,,1428888871.11111,,35.453,
Afghanistan,AF,AFG,4,1967,10010030,,1708888882.22222,,35.924,
Afghanistan,AF,AFG,4,1968,10247780,,1402222182.22222,,36.418,
Afghanistan,AF,AFG,4,1969,10494489,,1437777737.77778,,36.91,
Afghanistan,AF,AFG,4,1970,10752971,,1784444426.66667,,37.418,1.62960609911055
Afghanistan,AF,AFG,4,1971,11015857,,1868886653.33333,,37.923,
Afghanistan,AF,AFG,4,1972,11286753,,1631108937.77778,,38.444,
Afghanistan,AF,AFG,4,1973,11575305,,1771108944.44444,,39.003,1.86891025641026
Afghanistan,AF,AFG,4,1974,11869879,,2202222228.88889,,39.55,1.61082474226804
Afghanistan,AF,AFG,4,1975,12157386,,2417777777.77778,,40.1,1.72206572769953
Afghanistan,AF,AFG,4,1976,12425267,,2611111162.22222,,40.645,2.04608695652174
Afghanistan,AF,AFG,4,1977,12687301,,3017777697.77778,,41.228,2.0114747930775
Afghanistan,AF,AFG,4,1978,12938862,,3371111037.77778,,40.271,
Afghanistan,AF,AFG,4,1979,12986369,,3775743789.47368,,39.086,
Afghanistan,AF,AFG,4,1980,12486631,,3716553247.16553,,39.618,
Afghanistan,AF,AFG,4,1981,11155195,,3551514995.9596,,40.164,
Afghanistan,AF,AFG,4,1982,10088289,,,,37.766,
Afghanistan,AF,AFG,4,1983,9951449,,,,38.187,
Afghanistan,AF,AFG,4,1984,10243686,,,,33.329,
Afghanistan,AF,AFG,4,1985,10512221,,,,33.55,
Afghanistan,AF,AFG,4,1986,10448442,,,,39.396,
Afghanistan,AF,AFG,4,1987,10322758,,,,39.844,
Afghanistan,AF,AFG,4,1988,10383460,,,,43.958,
Afghanistan,AF,AFG,4,1989,10673168,,,,45.158,
Afghanistan,AF,AFG,4,1990,10694796,,,,45.967,
Afghanistan,AF,AFG,4,1991,10745167,,,,46.663,
Afghanistan,AF,AFG,4,1992,12057433,,,,47.596,
Afghanistan,AF,AFG,4,1993,14003760,,,,51.466,
Afghanistan,AF,AFG,4,1994,15455555,,,,51.495,
Afghanistan,AF,AFG,4,1995,16418912,,,,52.544,
Afghanistan,AF,AFG,4,1996,17106595,,,,53.243,
Afghanistan,AF,AFG,4,1997,17788819,,,,53.634,
Afghanistan,AF,AFG,4,1998,18493132,,,,52.943,
Afghanistan,AF,AFG,4,1999,19262847,,,,54.846,
Afghanistan,AF,AFG,4,2000,19542982,,,,55.298,
Afghanistan,AF,AFG,4,2001,19688632,,,,55.798,
Afghanistan,AF,AFG,4,2002,21000256,344.22418262143,,,56.454,
Afghanistan,AF,AFG,4,2003,22645130,347.415241061641,,,57.344,
Afghanistan,AF,AFG,4,2004,23553551,338.739397838443,,,57.944,2.43125378739118
Afghanistan,AF,AFG,4,2005,24411191,363.541469198432,,12.6862687216715,58.361,1.99206569856085
Afghanistan,AF,AFG,4,2006,25442944,367.485851243822,,6.78459655001657,58.684,1.89623399634252
Afghanistan,AF,AFG,4,2007,25903301,410.861612505237,,8.68057078513405,59.111,2.56626735198569
Afghanistan,AF,AFG,4,2008,26427199,418.523172772314,10107195903.4174,26.4186641547445,59.852,2.335545701939
Afghanistan,AF,AFG,4,2009,27385307,490.272836555321,12378340846.0194,-6.81116108898993,60.364,2.08741255278385
Afghanistan,AF,AFG,4,2010,28189672,544.689296876057,15885775005.6534,2.17853752389414,60.851,1.94583569418812
Afghanistan,AF,AFG,4,2011,29249157,527.197339273798,17781511591.793,11.8041858089129,61.419,1.82134545354632
Afghanistan,AF,AFG,4,2012,30466479,570.676064337005,19961261723.92,6.44121280934117,61.923,1.17541612009987
Afghanistan,AF,AFG,4,2013,31541209,582.103978902877,20209353777.0794,7.38577178397855,62.417,1.07694976762403
Afghanistan,AF,AFG,4,2014,32716210,576.487820334782,20559672368.8455,4.67399603536305,62.545,1.29801287790022
Afghanistan,AF,AFG,4,2015,33753499,566.881132665072,19249499539.0651,-0.66170916471352,62.659,0.994575822723645
Afghanistan,AF,AFG,4,2016,34636207,564.920843553397,18350475879.3856,4.38389195513893,63.136,0.956772140958855
Afghanistan,AF,AFG,4,2017,35643418,563.488239421983,18961769796.7873,4.97595150553892,63.016,0.945226799939516
Afghanistan,AF,AFG,4,2018,36686784,553.973308908649,18294514005.3864,0.626149149168983,63.081,1.00674585570556
Afghanistan,AF,AFG,4,2019,37769499,559.140956898688,19080661934.0984,2.30237251516819,63.565,1.17096838242129
Afghanistan,AF,AFG,4,2020,38972230,529.144912477888,20105156778.5781,,62.575,1.35885692738929
Afghanistan,AF,AFG,4,2021,40099462,407.616507361737,14352632363.6439,,61.982,1.827933856217
Afghanistan,AF,AFG,4,2022,41128771,,,,,
Albania,AL,ALB,8,1960,1608800,,,,54.439,
Albania,AL,ALB,8,1961,1659800,,,,55.634,
Albania,AL,ALB,8,1962,1711319,,,,56.671,
Albania,AL,ALB,8,1963,1762621,,,,57.844,
Albania,AL,ALB,8,1964,1814135,,,,58.983,
Albania,AL,ALB,8,1965,1864791,,,,60.019,
Albania,AL,ALB,8,1966,1914573,,,,60.998,
Albania,AL,ALB,8,1967,1965598,,,,61.972,
Albania,AL,ALB,8,1968,2022272,,,,62.946,
Albania,AL,ALB,8,1969,2081695,,,,63.923,
Albania,AL,ALB,8,1970,2135479,,,,64.824,
Albania,AL,ALB,8,1971,2187853,,,,65.618,
Albania,AL,ALB,8,1972,2243126,,,,66.422,
Albania,AL,ALB,8,1973,2296752,,,,67.14,
Albania,AL,ALB,8,1974,2350124,,,,67.769,
Albania,AL,ALB,8,1975,2404831,,,,68.328,
Albania,AL,ALB,8,1976,2458526,,,,68.704,
Albania,AL,ALB,8,1977,2513546,,,,69.121,
Albania,AL,ALB,8,1978,2566266,,,,69.309,
Albania,AL,ALB,8,1979,2617832,,,,69.584,
Albania,AL,ALB,8,1980,2671997,1740.50583847766,,,70.478,6.05202163275818
Albania,AL,ALB,8,1981,2726056,1804.01077946774,,,70.73,5.84831705344366
Albania,AL,ALB,8,1982,2784278,1818.36782013759,,,71.023,5.65159574468085
Albania,AL,ALB,8,1983,2843960,1799.87861664229,,,71.296,5.44128198995456
Albania,AL,ALB,8,1984,2904429,1740.3476817517,1860537995.338,,71.502,6.11750454270139
Albania,AL,ALB,8,1985,2964762,1735.2903123439,1898450116.55012,,71.656,5.65142619937141
Albania,AL,ALB,8,1986,3022635,1798.01507982468,2097426250,,71.95,5.62618650405569
Albania,AL,ALB,8,1987,3083605,1748.57872030222,2081196250,,72.352,5.86222892264873
Albania,AL,ALB,8,1988,3142336,1691.53094901661,2051436250,,72.641,5.61731662843362
Albania,AL,ALB,8,1989,3227943,1808.64607818532,2252990000,,72.88,5.16761272357288
Albania,AL,ALB,8,1990,3286542,1606.29646776458,2026653750,,73.144,5.8883007196812
Albania,AL,ALB,8,1991,3266790,1163.49159838489,1077859027.77778,,73.378,5.79127042184833
Albania,AL,ALB,8,1992,3247039,1086.4387714304,617074990.170926,226.005421253526,73.715,4.6708878237371
Albania,AL,ALB,8,1993,3227287,1197.58090750054,1219215468.95285,85.0047512387156,73.939,3.19945106674965
Albania,AL,ALB,8,1994,3207536,1305.00106057165,1894750864.46173,22.5650526933696,74.131,2.54781906037648
Albania,AL,ALB,8,1995,3187784,1488.02088119627,2436364853.42107,7.79321853789217,74.362,2.05358735905793
Albania,AL,ALB,8,1996,3168033,1633.55200001885,3271323089.4058,12.7254778087103,74.592,1.37902962734156
Albania,AL,ALB,8,1997,3148281,1464.29796254199,2308847102.93115,33.1802743753956,73.904,1.28308078036268
Albania,AL,ALB,8,1998,3128530,1603.64765027651,2622487165.91691,20.6428588670596,74.99,1.23824256064749
Albania,AL,ALB,8,1999,3108778,1821.87313102694,3287389862.41854,0.389437653561617,75.183,1.24921009885957
Albania,AL,ALB,8,2000,3089027,1960.88245974115,3585007221.82101,0.0500181363468309,75.404,1.24636024189216
Albania,AL,ALB,8,2001,3060173,2143.52683947815,4048094111.09564,3.10758827031434,75.639,1.30929137475594
Albania,AL,ALB,8,2002,3051010,2247.49808010881,4457186384.03827,7.77052583431552,75.89,1.32003449433204
Albania,AL,ALB,8,2003,3039616,2380.64462078713,5762066193.23098,0.48400261181847,76.142,1.33684292419802
Albania,AL,ALB,8,2004,3026939,2522.44937446209,7353974652.91914,2.28001916938101,76.376,1.38115794211088
Albania,AL,ALB,8,2005,3011487,2675.50863709675,8214108577.31472,2.36658195679796,76.621,1.35000497056322
Albania,AL,ALB,8,2006,2992547,2851.36775919961,9158294214.47949,2.37072831904282,76.816,1.56776908873068
Albania,AL,ALB,8,2007,2970017,3044.89661682055,10975296958.7017,2.93268248162323,77.549,1.8207653435572
Albania,AL,ALB,8,2008,2947314,3298.47890843532,12946373404.4206,3.32087090389264,77.653,1.98486885667765
Albania,AL,ALB,8,2009,2927519,3432.1708719722,11852736925.0939,2.26692209450831,77.781,1.5172171395597
Albania,AL,ALB,8,2010,2913021,3577.11432498868,11807769437.1323,3.62604695579816,77.936,1.55859189302349
Albania,AL,ALB,8,2011,2905195,3678.04770145146,12894099798.9481,3.42912324722163,78.092,1.52826633776627
Albania,AL,ALB,8,2012,2900401,3736.34007957648,12228069196.1144,2.03159268395301,78.064,1.48708257655216
Albania,AL,ALB,8,2013,2895092,3780.69919254096,12996543353.0861,1.93762080205229,78.123,1.40898210141146
Albania,AL,ALB,8,2014,2889104,3855.76074409659,13349419700.4171,1.6258650440261,78.407,1.34651599128914
Albania,AL,ALB,8,2015,2880703,3952.80357364813,11521811393.6203,1.89617402592365,78.644,1.16230386432234
Albania,AL,ALB,8,2016,2876101,4090.37272829183,12053832974.203,1.2754316836741,78.86,1.10358100880452
Albania,AL,ALB,8,2017,2873457,4249.8200493985,13051517643.6213,1.98666133171199,79.047,1.10915100558884
Albania,AL,ALB,8,2018,2866376,4431.55559506989,15137984850.8323,2.02805963071136,79.184,1.16054478505068
Albania,AL,ALB,8,2019,2854191,4543.38771048312,15200244588.0406,1.41109078954246,79.282,1.28080596201472
Albania,AL,ALB,8,2020,2837849,4418.66087378292,14912504601.9328,1.62088661717011,76.989,1.29847911563693
Albania,AL,ALB,8,2021,2811666,4857.11194201819,17680966714.6445,2.04147163139549,76.463,1.22084466120546
Albania,AL,ALB,8,2022,2777689,5155.29085964151,18569375310.9639,6.72520271530049,,1.58488092384586
Algeria,DZ,DZA,12,1960,11394307,2106.22857452789,3221537433.20924,,40.532,
Algeria,DZ,DZA,12,1961,11598608,1787.61477992447,2972128128.88642,,40.516,
Algeria,DZ,DZA,12,1962,11778260,1413.82321357679,2203115963.75171,,39.323,
Algeria,DZ,DZA,12,1963,11969451,1868.62614010156,2764286863.03185,,42.908,2.5114854517611
Algeria,DZ,DZA,12,1964,12179099,1943.69855987689,2909775635.70222,,42.788,3.49645390070922
Algeria,DZ,DZA,12,1965,12381256,2030.63606723792,3055264428.62756,,42.714,3.41863517060367
Algeria,DZ,DZA,12,1966,12613389,1897.4890575299,2918329370.11096,,42.543,3.51259360108918
Algeria,DZ,DZA,12,1967,12897115,2031.16880771534,3289850498.0697,,42.568,3.01910043130006
Algeria,DZ,DZA,12,1968,13190975,2200.32437759495,3791382118.10268,,42.642,2.61472785485592
Algeria,DZ,DZA,12,1969,13491016,2332.82169934138,4257253264.08834,,42.781,2.38686735837108
Algeria,DZ,DZA,12,1970,13795915,2483.44544524939,4741997079.23339,6.59999999900017,43.16,2.13053918358437
Algeria,DZ,DZA,12,1971,14110271,2152.97044128122,5036471769.34266,2.62664165105635,43.67,2.08758503401361
Algeria,DZ,DZA,12,1972,14439748,2680.80322991627,6744425093.99031,3.65630712983236,44.346,1.79584396646008
Algeria,DZ,DZA,12,1973,14786469,2717.76908435454,8632149037.41203,6.17283950622715,45.079,1.68816199376947
Algeria,DZ,DZA,12,1974,15153602,2850.6840523296,13138114166.1185,4.69961240341694,46.034,1.95766814852145
Algeria,DZ,DZA,12,1975,15724692,2885.75603668933,15380661000.3322,8.23031665265143,46.972,2.13109429304577
Algeria,DZ,DZA,12,1976,16500516,2980.71501278158,17416028003.0981,9.43073540174557,47.985,2.70172122848464
Algeria,DZ,DZA,12,1977,17134192,3021.42544928791,19801319536.8526,11.989283322105,49.191,2.24195045907314
Algeria,DZ,DZA,12,1978,17632645,3206.56232024146,25098700446.3047,17.5239234455033,50.353,2.37522893772894
Algeria,DZ,DZA,12,1979,18166981,3344.97797329696,31537622126.8861,11.3486005086091,51.755,2.13869586579631
Algeria,DZ,DZA,12,1980,18739378,3268.44298284817,40477140236.3549,9.51782449754963,53.261,2.10206329573495
Algeria,DZ,DZA,12,1981,19351357,3260.03203739444,42348269779.3785,14.6548426360634,55.276,1.81804887475257
Algeria,DZ,DZA,12,1982,20000096,3356.16154969079,43217921376.1097,6.54250963007673,57.428,2.06309744064138
Algeria,DZ,DZA,12,1983,20682111,3420.74496590267,47009480391.7474,5.9671639303272,59.51,1.95121325165132
Algeria,DZ,DZA,12,1984,21393530,3492.18316701329,52019565675.8723,8.116397955171,61.658,1.75512400703414
Algeria,DZ,DZA,12,1985,22132905,3500.41704584317,56393654500.9746,10.4822870444467,63.588,1.64370689684736
Algeria,DZ,DZA,12,1986,22882553,3399.2840005519,61999012720.7502,12.3716091651299,65.159,1.78721366645198
Algeria,DZ,DZA,12,1987,23586101,3274.80189094257,64846954477.166,7.44126091287247,65.83,1.85637627675836
Algeria,DZ,DZA,12,1988,24243018,3154.20323625704,56590566390.8654,5.91154496373489,66.971,1.74969874927024
Algeria,DZ,DZA,12,1989,24889507,3207.45498659379,53588210262.7068,9.30436125843166,67.085,1.54012377856337
Algeria,DZ,DZA,12,1990,25518074,3153.47583014697,59780577656.1963,16.6525343885432,67.416,1.46107058594342
Algeria,DZ,DZA,12,1991,26133905,3042.21590935767,43168049163.9769,25.8863869348513,67.688,1.21083405924608
Algeria,DZ,DZA,12,1992,26748303,3025.83954817452,45843140788.8093,31.6696619117149,67.757,2.14013212989672
Algeria,DZ,DZA,12,1993,27354327,2896.66841067658,48195614970.4308,20.5403261235827,67.719,2.50563157717782
Algeria,DZ,DZA,12,1994,27937006,2810.72674407805,40808325036.4869,29.0476561173071,67.361,3.14643001210165
Algeria,DZ,DZA,12,1995,28478022,2862.10786827821,39574279247.5974,29.7796264864999,67.454,2.93502710736712
Algeria,DZ,DZA,12,1996,28984634,2927.37743717948,44381551167.399,18.6790758601749,68.749,3.0940883958553
Algeria,DZ,DZA,12,1997,29476031,2910.23924301648,45957623524.2335,5.73352275357187,69.171,3.63740346813324
